preco,area_m2,quartos,banheiros,vagas,distrito
732600,74,1,2,2,Vila Madalena
1990000,164,4,5,3,Vila Madalena
720000,70,2,2,1,Vila Madalena
1680000,155,3,5,2,Vila Madalena
1200000,56,2,2,2,Vila Madalena
1950000,122,3,2,2,Vila Madalena
2105860,149,4,1,2,Vila Madalena
1475610,118,3,3,2,Vila Madalena
1350000,112,3,3,2,Vila Madalena
1880000,149,4,5,2,Vila Madalena
720000,73,2,2,1,Vila Madalena
1100000,94,3,3,1,Vila Madalena
650000,67,2,2,1,Vila Madalena
1500000,156,4,5,3,Vila Madalena
928000,97,3,2,1,Vila Madalena
697400,67,3,2,1,Vila Madalena
750000,75,2,2,1,Vila Madalena
2680001,168,2,3,3,Vila Madalena
820000,93,2,2,1,Vila Madalena
820000,90,2,2,1,Vila Madalena
1100000,93,2,1,1,Vila Madalena
980000,67,2,2,1,Vila Madalena
4125000,275,4,5,4,Vila Madalena
1150000,105,2,3,2,Vila Madalena
836893,68,2,2,1,Vila Madalena
1500000,126,3,3,2,Vila Madalena
1250700,128,3,4,2,Vila Madalena
530000,70,2,2,1,Vila Madalena
1400000,95,3,3,2,Vila Madalena
522900,83,3,2,2,Mooca
420000,71,3,2,2,Mooca
369000,63,2,2,1,Mooca
686700,109,4,4,2,Mooca
360000,50,2,2,1,Mooca
1195614,110,3,2,2,Mooca
2450000,221,3,4,4,Mooca
919990,126,3,4,2,Mooca
1550000,172,3,5,3,Mooca
580000,87,3,3,2,Mooca
1650000,185,4,4,2,Mooca
629950,83,3,3,2,Mooca
441000,69,2,2,2,Mooca
550000,77,3,2,2,Mooca
203000,34,2,2,1,Mooca
680000,85,3,2,2,Mooca
345300,58,3,2,1,Mooca
995000,120,3,3,2,Mooca
369000,60,3,2,1,Mooca
927000,140,3,2,3,Mooca
880000,118,3,4,2,Mooca
526000,70,2,2,1,Mooca
660000,85,3,2,2,Mooca
385000,64,2,2,1,Mooca
522900,83,3,2,2,Mooca
340000,65,3,2,1,Mooca
600000,82,2,2,1,Mooca
441000,70,2,2,2,Mooca
390000,31,1,2,1,Brooklin
830000,82,3,3,1,Brooklin
420000,54,2,2,1,Brooklin
1737000,158,4,6,4,Brooklin
780000,110,3,2,1,Brooklin
790000,105,2,2,1,Brooklin
550000,100,1,2,1,Brooklin
950000,113,3,2,1,Brooklin
785000,67,2,2,1,Brooklin
570140,54,2,2,1,Brooklin
1470000,130,3,5,2,Brooklin
2050000,169,3,4,2,Brooklin
1690000,167,3,5,3,Brooklin
760000,74,2,2,1,Brooklin
555000,67,2,2,1,Brooklin
688000,63,2,2,2,Brooklin
690000,63,2,2,2,Brooklin
1250000,125,3,4,2,Brooklin
950000,70,2,2,1,Brooklin
640000,72,2,2,1,Brooklin
1000000,121,3,4,3,Brooklin
847000,83,3,3,2,Brooklin
750000,94,3,4,2,Brooklin
954000,100,3,4,2,Brooklin
1180000,125,3,4,2,Brooklin
2790000,225,4,4,4,Brooklin
555000,41,1,2,1,Brooklin
440000,34,1,2,1,Brooklin
1340000,105,2,3,2,Brooklin
1100000,92,3,3,2,Vila Olimpia
1400000,83,2,3,2,Vila Olimpia
1650000,136,2,5,2,Vila Olimpia
1195000,76,2,2,2,Vila Olimpia
1200000,96,3,3,2,Vila Olimpia
1950000,111,3,4,2,Vila Olimpia
3700000,210,4,7,3,Vila Olimpia
1100000,94,3,2,1,Vila Olimpia
1155805,82,2,3,2,Vila Olimpia
780000,85,3,2,1,Vila Olimpia
1485000,127,3,3,2,Vila Olimpia
2400000,138,3,5,2,Vila Olimpia
1950000,136,3,5,3,Vila Olimpia
807000,105,3,3,1,Vila Olimpia
2650000,206,4,1,3,Vila Olimpia
1162756,95,3,3,2,Vila Olimpia
1600000,112,3,3,2,Vila Olimpia
775000,98,3,2,1,Vila Olimpia
8000000,278,4,5,5,Vila Olimpia
350000,33,1,2,1,Vila Olimpia
8039200,278,4,7,4,Vila Olimpia
590000,51,1,2,1,Vila Olimpia
1360000,115,3,4,2,Vila Olimpia
1780000,164,4,4,3,Vila Olimpia
1106996,48,1,2,2,Vila Olimpia
1053000,60,2,2,1,Vila Olimpia
1250000,81,2,3,2,Vila Olimpia
610000,53,1,2,1,Vila Olimpia
1297500,173,4,4,3,Mooca
2180000,221,4,4,4,Mooca
940000,112,3,2,2,Mooca
900000,120,3,3,3,Mooca
880000,102,3,2,2,Mooca
970000,126,3,4,2,Mooca
699000,89,3,2,2,Mooca
635000,98,3,2,2,Mooca
915000,30,3,1,2,Mooca
550000,80,3,2,2,Mooca
365000,51,1,1,1,Mooca
423500,90,3,2,2,Mooca
750000,107,3,2,2,Mooca
620000,83,3,2,1,Mooca
800000,120,4,2,2,Mooca
540000,50,2,2,1,Mooca
920000,112,3,2,2,Mooca
713990,86,2,2,1,Mooca
745000,92,3,2,2,Mooca
435000,52,2,1,1,Mooca
990000,118,3,4,2,Mooca
460000,63,2,2,1,Mooca
705000,132,3,2,1,Mooca
399000,60,2,2,1,Mooca
850000,110,3,4,2,Mooca
530000,107,2,2,1,Mooca
425000,64,2,2,2,Mooca
900000,112,3,2,2,Mooca
526000,70,2,2,1,Mooca
495000,60,2,2,2,Mooca
350000,79,2,1,1,Mooca
1000000,122,3,3,2,Mooca
636000,74,2,2,2,Mooca
420000,63,2,1,1,Mooca
459400,68,3,2,1,Mooca
670000,110,3,2,2,Mooca
827900,109,3,4,2,Mooca
270000,35,1,2,1,Mooca
999000,190,2,3,3,Mooca
560000,110,2,1,1,Mooca
550000,80,3,2,2,Mooca
531000,70,2,2,1,Mooca
550000,63,2,2,2,Mooca
689900,86,3,2,1,Mooca
620000,76,3,2,2,Mooca
410000,63,3,2,1,Mooca
229310,60,2,1,1,Mooca
580000,125,3,2,1,Mooca
270000,77,2,1,1,Mooca
490245,65,2,2,1,Mooca
530000,68,2,2,2,Mooca
320000,55,2,1,1,Mooca
480000,72,3,1,1,Mooca
1408000,108,2,3,2,Brooklin
579000,63,2,2,1,Brooklin
670000,63,2,2,2,Brooklin
540000,75,2,1,1,Brooklin
1400000,125,3,4,3,Brooklin
980000,83,1,2,1,Brooklin
